key|nickname|description|total_songs|total_playlists|total_friends|song_name|artist|album
10022|라이온|소개글이 없습니다.|282|14|3|말리꽃|이승철|청연 OST
10022|라이온|소개글이 없습니다.|282|14|3|A Thousand Years|Christina Perri|트와일라잇 : 다시 시작되는 신화 - 브레이킹 던 Part.1 OST
10022|라이온|소개글이 없습니다.|282|14|3|미스터 미스터리|안예은|K팝 스타 시즌5 TOP10 Part.1
10022|라이온|소개글이 없습니다.|282|14|3|금요일에 만나요 (Feat. 장이정 Of HISTORY)|아이유|Modern Times - Epilogue
10022|라이온|소개글이 없습니다.|282|14|3|In The Mood|The Glenn Miller Orchestra|Timeless+12
10022|라이온|소개글이 없습니다.|282|14|3|Happy Bubble (하우젠 CF 삽입곡)|윈터 플레이|Happy Bubble
10022|라이온|소개글이 없습니다.|282|14|3|New York, New York|Luciano Pavarotti|Pavarotti & Friends For War Child
10022|라이온|소개글이 없습니다.|282|14|3|Jingle Bell Rock (Glee Cast Ver.)|Glee Cast|Glee : The Music, The Christmas Album Vol.3
10022|라이온|소개글이 없습니다.|282|14|3|Let It Snow|Hilary Kole|Have Yourself A Merry Little Christmas
10022|라이온|소개글이 없습니다.|282|14|3|The Way You Look Tonight|Maroon 5|The Way You Look Tonight
10022|라이온|소개글이 없습니다.|282|14|3|Misty|Ella Fitzgerald|Something To Live For
10022|라이온|소개글이 없습니다.|282|14|3|You And I|Michael Buble|It`s Time
10022|라이온|소개글이 없습니다.|282|14|3|My Grandfather`s Clock (할아버지의 시계)|Marcela Mangabeira|Kids Bossa Nova Orgel Lullaby : 키즈 보사노바 오르골 자장가 (유아를 위한 오르골 보사노바 애니메이션, 영어동요, 팝송 연주곡)
10022|라이온|소개글이 없습니다.|282|14|3|Silhouette|Birdy|Beautiful Lies (Deluxe)
10022|라이온|소개글이 없습니다.|282|14|3|People Help The People|Birdy|Birdy
10022|라이온|소개글이 없습니다.|282|14|3|Beautiful Lies|Birdy|Beautiful Lies (Deluxe)
10022|라이온|소개글이 없습니다.|282|14|3|People Help The People|Birdy|Birdy (Deluxe Ver.)
10022|라이온|소개글이 없습니다.|282|14|3|History|Yoshimata Ryo|냉정과 열정사이 OST
10022|라이온|소개글이 없습니다.|282|14|3|Take The 'A'Train|Betty Roche|If You Like Jazz...Vol. 01
10022|라이온|소개글이 없습니다.|282|14|3|Stompin` At the Savoy (영화 `해리가 샐리를 만났을 때`)|Benny Goodman|영화 음악을 좋아하세요? (Special Edition : 7080 팝송, 보사, 재즈, 뮤지컬, 뉴에이지, OST, 오페라, 클래식)
10022|라이온|소개글이 없습니다.|282|14|3|Blue Moon (영화 `뉴욕 뉴욕`)|Billie Holiday|영화 음악을 좋아하세요? (Special Edition : 7080 팝송, 보사, 재즈, 뮤지컬, 뉴에이지, OST, 오페라, 클래식)
10022|라이온|소개글이 없습니다.|282|14|3|星をのんだ少年 / Hoshiwo Nonda Shounen (별을 삼킨 소년)|Hisaishi Joe|하울의 움직이는 성 OST
